Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0BT6qhbRveLcDVTGuarH5E,"夜上海","夜上海 七大歌后傳奇 精選作品集","周璇",2013-12-17,167840,28,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:54:26Z,"c-pop","WSM",0.558,0.107,5,-14.904,1,0.0344,0.983,0.00343,0.17,0.63,111.644,4
spotify:track:1bkvGbgK4HU8B7Ue4k7O7I,"光年之外 (電影 《Passengers》 中國區主題曲)","光年之外 (電影 《Passengers》 中國區主題曲)","G.E.M.",2016-12-30,235505,65,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:56:09Z,"mandopop,c-pop,cantopop,taiwanese pop,gufeng,malay pop","Hummingbird Music Ltd.",0.539,0.668,1,-6.825,0,0.0825,0.4,0,0.0864,0.238,175.867,4
spotify:track:2g0etrZPIzlzqaSbDKo9hB,"偶像萬萬歲","偶像萬萬歲","TimeZ",2021-04-08,222386,28,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:56:20Z,"c-pop","Linfair Records Limited",0.618,0.951,11,-3.986,1,0.0936,0.177,0,0.26,0.899,142.025,4
spotify:track:7HpjZgD9MAbngDMxCOCi22,"人间不值得","人间不值得","黄诗扶",2018-12-25,285957,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:56:43Z,"gufeng,c-pop,mandopop","锦瑟年华",0.606,0.437,0,-7.061,1,0.0276,0.804,0,0.39,0.214,93.995,4
spotify:track:4V7pB7pmPU1wf6U8S2iP2S,"世界上的另一個我","世界上的另一個我","A Si;Amber Kuo",2017-10-24,238000,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:57:07Z,"mandopop,chinese indie,c-pop,taiwanese indie,taiwanese pop,chinese r&b","北京摩登天空文化發展有限公司",0.707,0.688,7,-7.875,1,0.0495,0.372,0.00000127,0.108,0.846,133.016,4
spotify:track:1vMqI4JCpK79qjKcszunq8,"Super Star","Super Star","S.H.E",2003-08-22,196466,48,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:46:33Z,"mandopop,taiwanese pop,c-pop,malay pop","HIM",0.533,0.916,2,-2.162,1,0.0352,0.0973,0.000106,0.252,0.642,184.198,4
spotify:track:35GR4Q1LmvUKIiwJZ3Dxte,"一萬次悲傷","世界","Escape Plan",2012-01-01,255506,54,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:47:41Z,"chinese rock,mandopop,chinese indie,c-pop,taiwanese indie","北京意視互動廣告有限公司",0.509,0.552,11,-7.399,1,0.0247,0.000463,0,0.149,0.287,92.028,4
spotify:track:1b5IRT3iraxjHOsKZx93sW,"月牙灣","愛‧歌姬","F.I.R.",2007-09-28,308546,65,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:39:41Z,"mandopop,taiwanese pop,c-pop,malay pop","WM Taiwan",0.414,0.691,2,-5.969,1,0.0304,0.0523,0,0.0756,0.552,174.03,4
spotify:track:7fIP72hHPvNFI8XPYsxwQ9,"歐若拉","歐若拉","Angela Chang",2004-12-01,259160,54,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:39:46Z,"mandopop,taiwanese pop,c-pop,malay pop","Linfair",0.507,0.77,5,-4.557,1,0.0588,0.0927,0,0.277,0.651,170.001,4
spotify:track:7ymdNx2cNrYVcue5vDvXmF,"有点甜","万有引力","Silence Wang;BY2",2012-06-01,235200,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:43:28Z,"c-pop,mandopop,gufeng,chinese r&b,taiwanese pop","大象音乐",0.696,0.587,4,-6.801,1,0.0353,0.678,0,0.102,0.422,104.984,4
